ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
JPM,2021-02-23,bmo,2021-02-22,2021-02-23,2021-02-16,2021-02-22,2021-02-24,2021-03-02,2021-03-09,2021-02-16,2021-03-09,5,10
JPM,2021-04-14,bmo,2021-04-13,2021-04-14,2021-04-07,2021-04-13,2021-04-15,2021-04-21,2021-04-28,2021-04-07,2021-04-28,5,10
JPM,2021-07-13,bmo,2021-07-12,2021-07-13,2021-07-06,2021-07-12,2021-07-14,2021-07-20,2021-07-27,2021-07-06,2021-07-27,5,10
JPM,2021-10-13,bmo,2021-10-12,2021-10-13,2021-10-06,2021-10-12,2021-10-14,2021-10-20,2021-10-27,2021-10-06,2021-10-27,5,10
JPM,2022-02-22,bmo,2022-02-18,2022-02-22,2022-02-14,2022-02-18,2022-02-23,2022-03-01,2022-03-08,2022-02-14,2022-03-08,5,10
JPM,2022-04-13,bmo,2022-04-12,2022-04-13,2022-04-06,2022-04-12,2022-04-14,2022-04-21,2022-04-28,2022-04-06,2022-04-28,5,10
JPM,2022-07-14,bmo,2022-07-13,2022-07-14,2022-07-07,2022-07-13,2022-07-15,2022-07-21,2022-07-28,2022-07-07,2022-07-28,5,10
JPM,2022-10-14,bmo,2022-10-13,2022-10-14,2022-10-07,2022-10-13,2022-10-17,2022-10-21,2022-10-28,2022-10-07,2022-10-28,5,10
JPM,2023-02-21,bmo,2023-02-17,2023-02-21,2023-02-13,2023-02-17,2023-02-22,2023-02-28,2023-03-07,2023-02-13,2023-03-07,5,10
JPM,2023-04-14,bmo,2023-04-13,2023-04-14,2023-04-06,2023-04-13,2023-04-17,2023-04-21,2023-04-28,2023-04-06,2023-04-28,5,10
JPM,2023-07-14,bmo,2023-07-13,2023-07-14,2023-07-07,2023-07-13,2023-07-17,2023-07-21,2023-07-28,2023-07-07,2023-07-28,5,10
JPM,2023-10-13,bmo,2023-10-12,2023-10-13,2023-10-06,2023-10-12,2023-10-16,2023-10-20,2023-10-27,2023-10-06,2023-10-27,5,10
JPM,2024-01-29,bmo,2024-01-26,2024-01-29,2024-01-22,2024-01-26,2024-01-30,2024-02-05,2024-02-12,2024-01-22,2024-02-12,5,10
JPM,2024-04-12,bmo,2024-04-11,2024-04-12,2024-04-05,2024-04-11,2024-04-15,2024-04-19,2024-04-26,2024-04-05,2024-04-26,5,10
JPM,2024-07-12,bmo,2024-07-11,2024-07-12,2024-07-05,2024-07-11,2024-07-15,2024-07-19,2024-07-26,2024-07-05,2024-07-26,5,10
JPM,2024-10-11,bmo,2024-10-10,2024-10-11,2024-10-04,2024-10-10,2024-10-14,2024-10-18,2024-10-25,2024-10-04,2024-10-25,5,10
JPM,2025-02-14,bmo,2025-02-13,2025-02-14,2025-02-07,2025-02-13,2025-02-18,2025-02-24,2025-03-03,2025-02-07,2025-03-03,5,10
JPM,2025-04-11,bmo,2025-04-10,2025-04-11,2025-04-04,2025-04-10,2025-04-14,2025-04-21,2025-04-28,2025-04-04,2025-04-28,5,10
JPM,2025-07-15,bmo,2025-07-14,2025-07-15,2025-07-08,2025-07-14,2025-07-16,2025-07-22,2025-07-29,2025-07-08,2025-07-29,5,10
JPM,2025-10-14,bmo,2025-10-13,2025-10-14,2025-10-07,2025-10-13,2025-10-15,2025-10-21,2025-10-28,2025-10-07,2025-10-28,5,10
