ticker,earnings_date,px_-5,px_-1,px_+0,px_+1,px_+5,px_+10,pct_m5_p5,logpct_m5_p5,pct_m1_p1,logpct_m1_p1,pct_p0_p1,logpct_p0_p1,pct_p0_p5,logpct_p0_p5,pct_p0_p10,logpct_p0_p10,car_simple_m5_p5_pct,car_mm_1y_m5_p5_pct,car_mm_1q_m5_p5_pct,car_simple_m1_p1_pct,car_mm_1y_m1_p1_pct,car_mm_1q_m1_p1_pct,car_simple_p0_p1_pct,car_mm_1y_p0_p1_pct,car_mm_1q_p0_p1_pct,car_simple_p0_p5_pct,car_mm_1y_p0_p5_pct,car_mm_1q_p0_p5_pct,car_simple_p0_p10_pct,car_mm_1y_p0_p10_pct,car_mm_1q_p0_p10_pct,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
JNJ,2021-01-26,141.2261199951172,144.00244140625,147.90655517578125,145.65081787109375,139.89869689941406,144.25396728515625,-0.9399274693300486,-0.9443726638989042,1.1446864711088134,1.1381845065514349,-1.5251097573103831,-1.536859170204385,-5.414133448548075,-5.566212329640497,-2.4695240087797554,-2.500528255652369,-1.6148426278036851,,,,,,,,,-4.954229292445399,,,-4.072563063996533,,,bmo,2021-01-25,2021-01-26,2021-01-19,2021-01-25,2021-01-27,2021-02-02,2021-02-09,2021-01-19,2021-02-09,5,10,2021-01-26,2020-12-31,1,22475000000,3674000000,1734000000,1738000000,0.66,21663516783,6694905880,4750658822,4387411763,1.82125,811483217,3.7458517244845257,-3020905880,-45.12245480589191,-3016658822,-63.49979939687616,-2649411763,-60.38666772385184,-1.16125,-63.761153054221,2020-12-31,JNJ,2020-12-31,2020,Q4,USD,0.0660753249217341,0.1207687894434882,0.0390503189227498,-0.025349996812285,0.4197183098591549,0.2112174076158319,0,0.0,0.2836862073185656,0.2086772766294657,0.0833333333333333,0.9772727272727272,0.0671067106710671,-0.4133801692479642,-0.2975248358309479,-0.6257668711656442,-1.1074380165289257,-0.5109735509285313,-0.5111111111111111,-0.5112781954887218,0.0001310707109389,-3.746300528228374e-05,-0.6098987626546681,0.6318607764390897,-1.3125,-0.6417425227568271,-0.5109735509285313,0.0,0,2020-12-31,2020-12-31,2020-12-31,JNJ,2020-12-27,21299845751,21917752635,21663516783,5355924704,8033887057,6694905880,3800527057,5700790587,4750658822,3509929410,5264894116,4387411763,5285901175,7928851763,6607376469,1.82125,1.84904,1.7815,8,7,2020-12-31,2020-12-31
JNJ,2021-04-20,139.22584533691406,142.02818298339844,145.33685302734375,145.43289184570312,142.4559326171875,146.46302795410156,2.320034238224178,2.293530590151904,2.397206519710715,2.368924616425782,0.0660801554174916,0.0660583320961855,-1.9822366799246984,-2.0021465374717344,0.774872238733515,0.7718855227021297,1.2273402182490345,1.914427607943614,2.1873759024056834,,,,,,,-3.2522140266432755,-2.5219848760675685,-2.395275204208668,0.0820209012187038,0.565178161749065,0.8432760440592456,bmo,2021-04-19,2021-04-20,2021-04-13,2021-04-19,2021-04-21,2021-04-27,2021-05-04,2021-04-13,2021-05-04,5,10,2021-04-20,2021-04-04,2,22321000000,9386000000,7492000000,6197000000,2.35,21984386276,8023235000,5466010000,5419260000,2.33717,336613724,1.5311490608563214,1362765000,16.98523101965728,2025990000,37.06524503248256,777740000,14.351405911508214,0.0128300000000001,0.5489545048071008,2021-04-04,JNJ,2021-04-04,2021,Q1,USD,-0.0068520578420467,-0.0961095469669823,0.040720278289339,0.0479005535986475,-0.2118055555555555,-0.1897165866501471,0,0.0,-0.1982076461054438,-0.1546194612904988,0.1538461538461538,-0.2758620689655172,-0.0237113402061855,1.5547087642896027,0.6414189837008629,3.5106253794778386,14.538461538461538,2.565592635212888,2.560606060606061,2.569230769230769,7.217440984124669e-05,0.001311254308407,3.320645905420992,-1.2641509433962264,0.3513513513513513,1.23009900990099,2.565592635212888,0.0,0,2021-04-04,2021-04-04,2021-04-04,JNJ,2021-03-27,21615328725,22242387746,21984386276,6418588000,9627882000,8023235000,4372808000,6559212000,5466010000,4335408000,6503112000,5419260000,3891844000,5837766000,4864805000,2.33717,2.37283,2.28616,6,5,2021-04-04,2021-04-04
JNJ,2021-07-21,149.70468139648438,147.97413635253906,148.8877410888672,149.31817626953125,151.25070190429688,152.28729248046875,1.0327135353355832,1.0274174799517537,0.908293807365168,0.9041936282427884,0.2891004843757816,0.288683392608294,1.587075469174648,1.5746131115349904,2.2832983875901824,2.25762125225668,0.4133363070638556,0.6116829266195585,0.7800994577294353,,,,,,,0.6175494693264207,1.0775427800684658,1.1326330101450286,1.256994526854141,1.6674166114378774,1.818718733983158,bmo,2021-07-20,2021-07-21,2021-07-14,2021-07-20,2021-07-22,2021-07-28,2021-08-04,2021-07-14,2021-08-04,5,10,2021-07-21,2021-07-04,3,23312000000,8541000000,6702000000,6278000000,2.38,22489879570,5570128666,3956927333,3536558666,2.2906,822120430,3.655512816069739,2970871334,53.335775744897305,2745072667,69.3738458148228,2741441334,77.51720225528418,0.0893999999999999,3.902907535143627,2021-07-04,JNJ,2021-07-04,2021,Q2,USD,0.0443976524349267,0.0741894379158997,0.0306068947437409,-0.0132045084898494,0.0679672750157331,0.1416284403669724,0,0.0,0.1137931034482758,0.095715116654818,-0.2,-0.365079365079365,-0.029039070749736,-0.0900277008310249,-0.071553738317757,-0.1032440436128684,-0.6883116883116883,0.0130708407293851,0.0127659574468084,0.0129310344827587,-0.0002708244229692,-0.0004115688255322,-0.1054458088627869,0.4658385093167702,0.4166666666666667,-0.4767641996557659,0.0130708407293851,0.0,0,2021-07-04,2021-07-04,2021-07-04,JNJ,2021-06-27,22112336173,22753813342,22489879570,4456102932,6684154400,5570128666,3165541866,4748312800,3956927333,2829246932,4243870400,3536558666,3895871466,5843807200,4869839333,2.2906,2.32555,2.24061,4,7,2021-07-04,2021-07-04
JNJ,2021-10-19,139.34518432617188,141.49249267578125,144.8062744140625,144.7267303466797,146.467529296875,146.326171875,5.111296099068285,4.984956565372982,2.2858016066685805,2.260068561335708,-0.0549313679291008,-0.0549464607323889,1.14722576044064,1.1406950264273392,1.049607461477442,1.0441373257036055,-0.0174834625598082,2.951182260792878,3.5892965400183043,,,,,,,-0.0689768278816544,0.699362661899301,1.0534019128507297,-1.36505213320387,0.1744815910454809,0.8824206154050819,bmo,2021-10-18,2021-10-19,2021-10-12,2021-10-18,2021-10-20,2021-10-26,2021-11-02,2021-10-12,2021-11-02,5,10,2021-10-19,2021-10-03,4,23338000000,5683000000,3869000000,3667000000,1.39,23641575741,6123822221,5709244443,3475022221,2.35131,-303575741,-1.2840757499658917,-440822221,-7.1984816849894635,-1840244443,-32.23271417737754,191977779,5.524505076251137,-0.96131,-40.884017845371304,2021-10-03,JNJ,2021-10-03,2021,Q3,USD,0.0011153054221002,-0.044418083563991,0.0230842607313195,0.0219444804236605,0.0082498526812021,-0.0289636698476477,0,0.0,-0.0154798761609907,-0.0284298690574495,0.0833333333333333,-0.5,-0.0135943447525829,-0.3346212387308278,0.0798993394149103,-0.4222455719003302,-0.5260416666666666,-0.4158967824147818,-0.4159663865546218,-0.4170212765957446,0.0002321438273488,0.0012352148525228,-0.422709638913757,9.71220930232558,0.75,-10.924342105263158,-0.4158967824147818,0.0,0,2021-10-03,2021-10-03,2021-10-03,JNJ,2021-09-27,23244698524,23919025437,23641575741,4899057776,7348586666,6123822221,4567395554,6851093332,5709244443,2780017776,4170026665,3475022221,4248248888,6372373332,5310311110,2.35131,2.38718,2.3,4,7,2021-10-03,2021-10-03
JNJ,2022-01-25,148.62770080566406,144.9542694091797,149.09910583496094,149.76617431640625,151.98980712890625,152.55018615722656,2.262099396692041,2.236893344218975,3.319602055765203,3.265693066191428,0.4473993842617041,0.4464015283768949,1.9387784237586692,1.920223556535188,2.314621742993994,2.2882406795006576,2.886050176709668,2.6537119382349204,2.2498130502801694,,,,,,,-2.385574928921827,0.440844311011393,1.2979814447225335,-1.4972245503689223,1.0727420575186914,1.677439373693013,bmo,2022-01-24,2022-01-25,2022-01-18,2022-01-24,2022-01-26,2022-02-01,2022-02-08,2022-01-18,2022-02-08,5,10,2022-01-25,2021-12-31,5,24804000000,6739000000,4896000000,4736000000,1.8,25275614293,7364396468,5225724703,4826152939,2.11652,-471614293,-1.8658865716692472,-625396468,-8.49216185898589,-329724703,-6.309645489183742,-90152939,-1.868008331677116,-0.3165199999999999,-14.95473702114792,2021-12-31,JNJ,2021-12-31,2021,Q4,USD,0.062816008226926,0.0972413793103448,0.0473023371456986,-0.0145967608042338,0.3793103448275862,0.3196551724137931,0,0.0,0.34179136846671,0.2341549295774647,0.0,2.0,0.015986769570011,0.1858173499912018,-0.348237692979901,0.2564302416212003,-0.4505494505494505,0.2915189528224707,0.2949640287769785,0.2919708029197079,-0.0013807642634657,-0.0017570750308422,0.2654432669940553,-1.140473807140474,-5.714285714285714,1.1196552867086509,0.2915189528224707,0.0,0,2021-12-31,2021-12-31,2021-12-31,JNJ,2021-12-27,24851306051,25572240524,25275614293,5891517174,8837275762,7364396468,4180579762,6270869645,5225724703,3860922351,5791383527,4826152939,5814491292,8721736939,7268114115,2.11652,2.14881,2.07033,4,7,2021-12-31,2021-12-31
JNJ,2022-04-19,160.9861297607422,159.03466796875,163.8864288330078,164.61155700683594,165.31871032714844,159.59864807128906,2.691275684958283,2.655697782445561,3.506712787416766,3.4466282463590368,0.4424577306318511,0.4414817641819077,0.8739475894004922,0.8701507728768956,-2.616312279333266,-2.6511466566021213,8.159064633075987,3.722885000636427,2.6064805270090945,,,,,,,7.464880719931108,2.392760581253647,1.628336291138844,3.8677569331057087,-1.3386007946180123,-2.5106555908671067,bmo,2022-04-18,2022-04-19,2022-04-11,2022-04-18,2022-04-20,2022-04-26,2022-05-03,2022-04-11,2022-05-03,5,10,2022-04-19,2022-04-03,6,23426000000,7641000000,5872000000,5149000000,1.96,23624077068,8825558500,6012611000,5961186000,2.58531,-198077068,-0.8384542068240429,-1184558500,-13.421909786219194,-140611000,-2.3386013164663404,-812186000,-13.62457068106917,-0.6253100000000003,-24.187041399290617,2022-04-03,JNJ,2022-04-03,2022,Q1,USD,-0.0555555555555555,-0.0448774355751099,-0.0605970680752566,-0.0053380720933937,-0.1372881355932203,-0.263391690619284,0,0.0,-0.2152901244545013,-0.1486054405037139,0.6923076923076923,-0.8333333333333334,-0.0401519262072707,0.1338477518919721,0.3671508379888268,0.2121588089330024,6.13,0.0872043918918918,0.0888888888888888,0.0903954802259886,0.0001593783104757,-0.0013856639952063,0.1993464052287581,1.5843230403800477,1.25531914893617,-1.709141274238227,0.0872043918918918,0.0,0,2022-04-03,2022-04-03,2022-04-03,JNJ,2022-03-27,23227493606,23901321406,23624077068,7060446800,10590670200,8825558500,4810088800,7215133200,6012611000,4768948800,7153423200,5961186000,4281028400,6421542600,5351285500,2.58531,2.62475,2.52889,3,8,2022-04-03,2022-04-03
JNJ,2022-07-19,158.4259796142578,156.9664764404297,154.6781768798828,153.79527282714844,156.47097778320312,155.78627014160156,-1.2340159333808831,-1.2416931339655175,-2.020306300552499,-2.0409935936381456,-0.5708006588544201,-0.5724359516254836,1.1590522590090524,1.1523867037174995,0.7163862957728417,0.7138324388824009,-3.909255376481741,-2.4740270522598276,-2.729021533638773,,,,,,,1.5387700813862557,1.0663694595394448,1.0773016509083857,-3.196523218682695,-0.9408195402114184,-1.29125648065707,bmo,2022-07-18,2022-07-19,2022-07-12,2022-07-18,2022-07-20,2022-07-26,2022-08-02,2022-07-12,2022-08-02,5,10,2022-07-19,2022-07-03,7,24020000000,7622000000,5878000000,4814000000,1.83,23771477198,6127141532,4352620066,3890214532,2.53696,248522802,1.0454663794343808,1494858468,24.397322310784837,1525379934,35.045097225814246,923785468,23.74638880198394,-0.70696,-27.866422805247225,2022-07-03,JNJ,2022-07-03,2022,Q2,USD,0.025356441560659,0.0422479599894709,0.0172479150871872,-0.0079080075294894,-0.0906188605108055,0.0510819439517559,0,0.0,-0.0083419155509783,0.0138664201525306,1.9090909090909092,2.8,-0.0141322781232334,-0.0024865855254547,0.0578620464203988,-0.0037529853292391,0.4389901823281907,-0.0650611769275587,-0.0663265306122448,-0.0673575129533678,-0.0001338716596739,0.0005250328145509,0.0010217983651226,1.4146341463414631,1.1666666666666667,-1.46875,-0.0650611769275587,0.0,0,2022-07-03,2022-07-03,2022-07-03,JNJ,2022-06-27,23372419292,24050451375,23771477198,4901713225,7352569839,6127141532,3482096052,5223144080,4352620066,3112171625,4668257440,3890214532,4285458612,6428187920,5356823266,2.53696,2.57566,2.48159,3,8,2022-07-03,2022-07-03
JNJ,2022-10-18,147.5910186767578,151.09193420410156,150.5658416748047,149.36868286132812,154.82862854003906,156.98719787597656,4.903828111067177,4.787382170414422,-1.1405316583250502,-1.147085601494934,-0.7951065129780277,-0.7982843407654461,2.831177920448402,2.791840821461342,4.264816063022359,4.176378510126449,-2.572497197249088,2.1859835189791097,2.517565688928292,,,,,,,-0.8971747532171734,1.493762416440204,1.6591683813295055,0.5447163102072328,2.6625649722303275,3.0810905316810504,bmo,2022-10-17,2022-10-18,2022-10-11,2022-10-17,2022-10-19,2022-10-25,2022-11-01,2022-10-11,2022-11-01,5,10,2022-10-18,2022-10-02,8,19996000000,6908000000,5223000000,4458000000,1.7,23357438093,6736204442,6280168887,3822524442,2.47728,-3361438093,-14.391296167054342,171795558,2.5503317109685786,-1057168887,-16.833446775425866,635475558,16.624499532761916,-0.77728,-31.37634825292256,2022-10-02,JNJ,2022-10-02,2022,Q3,USD,-0.1675270607826811,-0.2206086627099381,-0.1414197875908328,0.0313611073903557,-0.0588711855252497,-0.2111036112048599,0,0.0,-0.1525599750752934,-0.1832687485753362,1.34375,0.3421052631578947,-0.0338302752293578,-0.0936762004723169,-0.1248454882571075,-0.1143835616438356,-0.1598440545808966,-0.0739509763190693,-0.0710382513661202,-0.0666666666666667,-0.0046214728462795,-0.0024738558416732,-0.1114324600204151,-0.2575757575757575,2.8076923076923075,0.2215189873417721,-0.1046946406314914,0.0,0,2022-10-02,2022-10-02,2022-10-02,JNJ,2022-09-27,22965330768,23631553244,23357438093,5388963553,8083445331,6736204442,5024135109,7536202665,6280168887,3058019552,4587029332,3822524442,4673073776,7009610665,5841342220,2.47728,2.51507,2.42322,3,8,2022-10-02,2022-10-02
JNJ,2023-01-24,157.3341522216797,153.63720703125,153.63720703125,154.73257446289062,149.1735076904297,149.1552276611328,-5.186823341286939,-5.326179209570444,0.7129571363646559,0.7104276128028556,0.7129571363646559,0.7104276128028556,-2.90535048577939,-2.9483915049187908,-2.917248664384764,-2.960646462054061,-7.423281581715538,-6.244332032947508,-5.887706818693842,,,,,,,-4.369763992938934,-3.4999823858527956,-3.3274661734479087,-6.525553729808998,-4.334146459621999,-3.99845760477154,bmo,2023-01-23,2023-01-24,2023-01-17,2023-01-23,2023-01-25,2023-01-31,2023-02-07,2023-01-17,2023-02-07,5,10,2023-01-24,2022-12-31,9,23706000000,6150000000,4378000000,3520000000,1.35,23879587094,8100836114,5748297173,5308768232,2.23664,-173587094,-0.7269266981740049,-1950836114,-24.081910639181213,-1370297173,-23.83831475234692,-1788768232,-33.69460021286535,-0.8866399999999999,-39.64160526504041,2022-12-31,JNJ,2022-12-31,2022,Q4,USD,0.1855371074214843,0.2581011017498379,0.1531394675925926,-0.027327394247758,0.3268292682926829,0.5854545454545454,0,0.0,0.475,0.3815936366173597,0.6933333333333334,2.4705882352941178,0.0516320474777448,-0.1097278517660683,-0.3105579096045198,-0.1877416860015467,-0.2099767981438515,-0.2104082548227905,-0.2058823529411764,-0.2083333333333332,-0.0012553107094626,0.0009769661443655,-0.1617844150871147,-2.072562358276644,-0.2222222222222222,1.6016260162601623,-0.1832946635730858,-1.0,0,2022-12-31,2022-12-31,2022-12-31,JNJ,2022-12-27,23478714320,24159830013,23879587094,6480668890,9721003338,8100836114,4598637738,6897956609,5748297173,4247014586,6370521879,5308768232,6395940421,9593910632,7994925526,2.23664,2.27076,2.18783,3,8,2022-12-31,2022-12-31
JNJ,2023-04-18,151.0278778076172,152.31503295898438,148.03067016601562,149.4281768798828,151.86453247070312,151.7266082763672,0.5539736605129963,0.5524448698963765,-1.895319209810986,-1.9135106078121185,0.944065653624282,0.9396372036650644,2.58991079374824,2.5569406569756503,2.4967380788093463,2.4660788462617087,1.5033389150741772,1.0514351612349704,1.9163288388054016,,,,,,,4.5802399613193785,3.343476928090537,3.9870219197701298,3.3059425015454806,2.9047838660497365,3.759079915483748,bmo,2023-04-17,2023-04-18,2023-04-11,2023-04-17,2023-04-19,2023-04-25,2023-05-02,2023-04-11,2023-05-02,5,10,2023-04-18,2023-04-02,10,20894000000,805000000,-1075000000,-68000000,-0.03,23598793647,9708114350,6613872100,6557304600,2.50257,-2704793647,-11.461575907054248,-8903114350,-91.70796746950144,-7688872100,-116.25371618540976,-6625304600,-101.03701145742107,-2.53257,-101.19876766683848,2023-04-02,JNJ,2023-04-02,2023,Q1,USD,-0.1186197587108748,-0.1388280746941403,-0.108776111912678,0.0111684450459207,-0.2528114186851211,-0.3920669185105235,0,0.0,-0.3385676304420073,-0.2602393818494015,-0.2204724409448819,0.1977401129943503,0.0609480812641083,-0.8691056910569106,0.5994878361075544,-1.3063556296119971,-2.168869309838473,-1.0193181818181818,-1.022222222222222,-1.0225563909774436,-0.0030980292677103,-0.0219227448477795,-1.245545911375057,16.477801268498943,-1.181818181818182,-26.449324324324323,-1.1394886363636365,0.0,0,2023-04-02,2023-04-02,2023-04-02,JNJ,2023-03-27,23202634624,23875741267,23598793647,7766491480,11649737220,9708114350,5291097680,7936646520,6613872100,5245843680,7868765520,6557304600,4709131240,7063696860,5886414050,2.50257,2.54075,2.44796,4,7,2023-04-02,2023-04-02
