ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
AVGO,2021-03-04,amc,2021-03-04,2021-03-05,2021-02-19,2021-02-26,2021-03-04,2021-03-08,2021-03-12,2021-03-19,2021-02-19,2021-03-19,10,10
AVGO,2021-06-03,amc,2021-06-03,2021-06-04,2021-05-20,2021-05-27,2021-06-03,2021-06-07,2021-06-11,2021-06-18,2021-05-20,2021-06-18,10,10
AVGO,2021-09-02,amc,2021-09-02,2021-09-03,2021-08-20,2021-08-27,2021-09-02,2021-09-07,2021-09-13,2021-09-20,2021-08-20,2021-09-20,10,10
AVGO,2021-12-09,amc,2021-12-09,2021-12-10,2021-11-26,2021-12-03,2021-12-09,2021-12-13,2021-12-17,2021-12-27,2021-11-26,2021-12-27,10,10
AVGO,2022-03-03,amc,2022-03-03,2022-03-04,2022-02-17,2022-02-25,2022-03-03,2022-03-07,2022-03-11,2022-03-18,2022-02-17,2022-03-18,10,10
AVGO,2022-05-26,amc,2022-05-26,2022-05-27,2022-05-13,2022-05-20,2022-05-26,2022-05-31,2022-06-06,2022-06-13,2022-05-13,2022-06-13,10,10
AVGO,2022-09-01,amc,2022-09-01,2022-09-02,2022-08-19,2022-08-26,2022-09-01,2022-09-06,2022-09-12,2022-09-19,2022-08-19,2022-09-19,10,10
AVGO,2022-12-08,amc,2022-12-08,2022-12-09,2022-11-25,2022-12-02,2022-12-08,2022-12-12,2022-12-16,2022-12-23,2022-11-25,2022-12-23,10,10
AVGO,2023-03-02,amc,2023-03-02,2023-03-03,2023-02-16,2023-02-24,2023-03-02,2023-03-06,2023-03-10,2023-03-17,2023-02-16,2023-03-17,10,10
AVGO,2023-06-01,amc,2023-06-01,2023-06-02,2023-05-18,2023-05-25,2023-06-01,2023-06-05,2023-06-09,2023-06-16,2023-05-18,2023-06-16,10,10
AVGO,2023-08-31,amc,2023-08-31,2023-09-01,2023-08-18,2023-08-25,2023-08-31,2023-09-05,2023-09-11,2023-09-18,2023-08-18,2023-09-18,10,10
AVGO,2023-12-07,amc,2023-12-07,2023-12-08,2023-11-24,2023-12-01,2023-12-07,2023-12-11,2023-12-15,2023-12-22,2023-11-24,2023-12-22,10,10
AVGO,2024-03-07,amc,2024-03-07,2024-03-08,2024-02-23,2024-03-01,2024-03-07,2024-03-11,2024-03-15,2024-03-22,2024-02-23,2024-03-22,10,10
AVGO,2024-06-12,amc,2024-06-12,2024-06-13,2024-05-30,2024-06-06,2024-06-12,2024-06-14,2024-06-21,2024-06-28,2024-05-30,2024-06-28,10,10
AVGO,2024-09-05,amc,2024-09-05,2024-09-06,2024-08-22,2024-08-29,2024-09-05,2024-09-09,2024-09-13,2024-09-20,2024-08-22,2024-09-20,10,10
AVGO,2024-12-12,amc,2024-12-12,2024-12-13,2024-11-29,2024-12-06,2024-12-12,2024-12-16,2024-12-20,2024-12-30,2024-11-29,2024-12-30,10,10
AVGO,2025-03-06,amc,2025-03-06,2025-03-07,2025-02-21,2025-02-28,2025-03-06,2025-03-10,2025-03-14,2025-03-21,2025-02-21,2025-03-21,10,10
AVGO,2025-06-05,amc,2025-06-05,2025-06-06,2025-05-22,2025-05-30,2025-06-05,2025-06-09,2025-06-13,2025-06-23,2025-05-22,2025-06-23,10,10
AVGO,2025-09-04,amc,2025-09-04,2025-09-05,2025-08-21,2025-08-28,2025-09-04,2025-09-08,2025-09-12,2025-09-19,2025-08-21,2025-09-19,10,10
AVGO,2025-12-11,amc,2025-12-11,2025-12-12,2025-11-28,2025-12-05,2025-12-11,2025-12-15,2025-12-19,2025-12-29,2025-11-28,2025-12-29,10,10
